108	1.2
1.017729	0.449443	0.638696
1ACB_r_u.pdb.ms	7.621	-0.136	17.934
1ACB_l_u.pdb.ms	15.099	24.088	11.302
2.827433	1.720612	2.279888	105	92	12	2402.988
2.932153	1.588901	2.301496	106	92	11	2310.812
2.932153	1.794553	2.374618	105	92	12	2134.228
2.932153	1.665496	2.397872	106	92	11	2110.302
2.932153	1.720612	2.279888	106	92	12	2084.251
2.827433	1.645258	2.188109	105	92	12	2075.043
2.827433	1.588901	2.301496	105	92	11	2057.029
2.617994	1.142003	-3.058022	0	89	3	2024.304
2.827433	1.794553	2.374618	105	92	12	2002.901
1.989675	2.642029	0.813274	98	2	22	1962.350
2.827433	1.865046	1.763384	104	91	8	1930.895
-3.141593	1.889815	2.701570	102	91	8	1928.127
2.827433	1.847325	2.249051	105	92	13	1925.552
1.361357	1.807825	-2.090455	4	90	5	1923.629
2.827433	1.509287	2.204647	105	91	11	1886.484
2.722714	2.032917	-2.199917	1	88	2	1882.324
2.932153	1.865046	1.763384	106	91	8	1879.911
2.932153	1.645258	2.188109	106	92	12	1879.485
3.036873	1.665496	2.397872	106	92	11	1879.047
2.932153	2.335096	-0.588468	106	90	7	1870.818
3.036873	2.052794	-0.008526	98	89	2	1866.906
2.827433	1.724868	2.846246	1	90	8	1862.325
1.361357	1.788829	-1.947553	4	90	4	1858.209
2.513274	1.157331	-2.906362	0	89	3	1854.839
2.617994	2.032917	-2.199917	0	88	2	1853.339
2.617994	1.523102	2.765920	0	91	8	1852.855
2.513274	1.046265	-2.958847	0	89	2	1846.998
2.617994	1.157331	-2.906362	1	89	3	1846.175
-1.256637	2.321510	1.685664	103	91	8	1844.827
2.932153	1.866694	2.473686	105	92	11	1844.482
2.932153	2.294058	-0.421070	107	90	7	1839.546
3.036873	2.294058	-0.421070	107	90	7	1836.381
1.466077	2.108277	-2.095907	7	92	7	1835.682
2.617994	1.046265	-2.958847	1	89	2	1829.356
2.617994	2.100482	-2.301084	0	88	2	1826.321
2.827433	2.149210	-1.482321	105	89	2	1825.476
2.827433	1.665496	2.397872	105	91	10	1825.473
-3.141593	1.201164	2.355931	1	90	7	1822.266
2.617994	1.165407	3.092861	0	89	4	1820.601
2.617994	1.303305	3.043152	0	90	5	1819.870
2.827433	1.739676	2.496017	105	91	10	1811.721
1.256637	1.807825	-2.090455	4	90	5	1805.252
2.513274	1.833945	-2.320278	107	88	1	1804.226
2.617994	1.245961	-2.997461	1	89	3	1803.242
2.513274	1.904429	-2.428029	107	88	2	1799.803
3.036873	1.720612	2.279888	106	92	12	1799.572
2.722714	2.100482	-2.301084	1	88	2	1794.745
3.036873	1.588901	2.301496	106	92	11	1792.291
2.932153	1.509287	2.204647	106	92	10	1788.667
2.722714	1.541082	2.424608	106	92	11	1788.445
-2.094395	1.908408	-2.648903	105	92	8	1787.184
2.932153	1.846350	1.893983	105	91	7	1786.978
2.513274	1.886971	-2.196665	107	88	2	1784.561
2.617994	2.645260	1.570203	99	107	22	1784.476
2.199115	2.394960	0.862133	96	0	22	1779.904
2.932153	1.464952	2.329245	106	92	10	1777.822
-2.932153	2.539532	-0.074548	93	98	17	1774.507
2.722714	1.165407	3.092861	1	90	4	1773.191
3.036873	1.541082	2.424608	107	91	10	1771.848
2.722714	1.960212	-2.307561	1	87	1	1770.403
2.617994	2.034712	-2.419505	0	88	3	1769.627
1.256637	1.788829	-1.947553	3	90	4	1769.239
2.827433	1.866694	2.473686	105	92	12	1768.688
2.513274	1.142003	-3.058022	0	89	3	1768.081
1.780236	1.699172	-1.749717	105	91	8	1767.692
2.408554	2.627402	1.293552	98	107	21	1766.356
2.827433	2.212686	-0.544809	106	90	7	1764.689
0.733038	2.244355	0.309899	95	16	13	1764.522
2.722714	1.431907	3.015410	1	90	6	1764.092
2.722714	1.361196	2.914780	1	90	7	1763.507
2.932153	1.739676	2.496017	5	91	11	1761.637
2.722714	1.303305	3.043152	1	90	5	1761.107
2.827433	2.335096	-0.588468	106	90	7	1759.372
2.513274	1.960212	-2.307561	107	88	2	1759.232
2.094395	2.394960	0.862133	96	1	22	1758.902
-3.141593	1.972312	2.805134	102	91	8	1757.970
2.513274	1.074714	-2.805147	0	89	2	1757.843
